Cell_ID,Timestamp,RSRP,SINR,Latency,Throughput,Packet_Loss,Connected_Users,Signal_Quality,Network_Load,Network_Health_Index
CELL_0217,2026-01-03 06:00:00,-86.1,1.6,39.7,70.3,1.65,295,86.52000000000001,0.9833333333333333,2.58749999999999
CELL_0218,2026-01-03 06:15:00,-86.1,8.5,44.8,133.0,4.53,86,90.66,0.2866666666666667,-33.682941176470585
CELL_0219,2026-01-03 06:30:00,-103.3,17.5,12.8,73.2,4.84,210,89.18,0.7,-13.457142857142857
CELL_0220,2026-01-03 06:45:00,-113.6,21.3,9.7,114.0,3.22,178,87.34,0.5933333333333334,-7.567887323943662
CELL_0221,2026-01-03 07:00:00,-79.3,20.1,50.6,149.1,3.43,279,100.34,0.93,-46.61208955223881
CELL_0222,2026-01-03 07:15:00,-115.3,20.1,33.0,8.6,1.54,119,85.94,0.39666666666666667,-34.112139303482586
CELL_0223,2026-01-03 07:30:00,-102.9,23.0,15.6,200.0,0.77,161,92.63999999999999,0.5366666666666666,-7.674347826086956
CELL_0224,2026-01-03 07:45:00,-77.8,3.0,47.4,167.8,4.42,29,90.68,0.09666666666666666,4.113333333333339
CELL_0225,2026-01-03 08:00:00,-86.9,26.3,39.0,121.5,0.77,102,101.02,0.34,-35.150228136882134
CELL_0226,2026-01-03 08:15:00,-78.4,23.1,49.5,37.3,2.19,220,102.5,0.7333333333333333,-50.075281385281386
CELL_0227,2026-01-03 08:30:00,-101.8,21.6,58.3,124.1,3.76,239,92.24000000000001,0.7966666666666666,-56.31462962962963
CELL_0228,2026-01-03 08:45:00,-108.3,7.2,58.1,158.0,4.52,109,81.0,0.36333333333333334,-40.67555555555556
CELL_0229,2026-01-03 09:00:00,-101.6,28.4,59.1,95.0,1.41,205,96.4,0.6833333333333333,-57.16492957746479
CELL_0230,2026-01-03 09:15:00,-94.9,12.6,13.9,43.9,3.02,138,89.6,0.46,-13.435873015873016
CELL_0231,2026-01-03 09:30:00,-117.4,14.4,25.4,187.2,3.56,274,81.67999999999999,0.9133333333333333,-15.96
CELL_0232,2026-01-03 09:45:00,-77.4,8.6,47.0,58.2,4.53,85,94.19999999999999,0.2833333333333333,-44.76255813953488
CELL_0233,2026-01-03 10:00:00,-78.4,2.8,55.1,164.3,4.42,23,90.32,0.07666666666666666,-0.8414285714285636
CELL_0234,2026-01-03 10:15:00,-99.3,11.9,25.6,80.3,0.41,124,87.42,0.41333333333333333,-19.262100840336135
CELL_0235,2026-01-03 10:30:00,-118.6,27.9,51.2,131.7,3.96,80,89.3,0.26666666666666666,-50.43956989247312
CELL_0236,2026-01-03 10:45:00,-118.1,27.5,31.0,167.1,3.79,250,89.25999999999999,0.8333333333333334,-28.71363636363636
CELL_0237,2026-01-03 11:00:00,-97.6,0.2,9.4,54.9,4.17,290,81.08,0.9666666666666667,260.93
CELL_0238,2026-01-03 11:15:00,-73.0,18.3,28.3,156.4,1.19,72,101.78,0.24,-20.943551912568307
CELL_0239,2026-01-03 11:30:00,-117.6,12.6,48.7,94.1,0.55,265,80.52000000000001,0.8833333333333333,-41.78174603174603
CELL_0240,2026-01-03 11:45:00,-90.2,0.5,33.3,52.2,0.72,229,84.22,0.7633333333333333,70.38000000000001
CELL_0241,2026-01-03 12:00:00,-119.9,10.6,36.4,41.5,3.34,278,78.39999999999999,0.9266666666666666,-35.824905660377354
CELL_0242,2026-01-03 12:15:00,-71.3,2.0,33.9,103.9,4.94,293,92.68,0.9766666666666667,13.110000000000003
CELL_0243,2026-01-03 12:30:00,-119.0,26.2,7.4,80.4,1.87,18,88.12,0.06,-6.201297709923664
CELL_0244,2026-01-03 12:45:00,-102.1,2.0,18.3,133.1,0.52,180,80.36,0.6,47.73
CELL_0245,2026-01-03 13:00:00,-113.3,10.6,23.6,130.3,4.15,247,81.03999999999999,0.8233333333333334,-15.45754716981132
CELL_0246,2026-01-03 13:15:00,-71.0,14.4,15.0,31.3,3.58,244,100.24,0.8133333333333334,-16.40638888888889
CELL_0247,2026-01-03 13:30:00,-118.2,6.0,48.5,177.7,1.58,168,76.32,0.56,-20.46333333333334
CELL_0248,2026-01-03 13:45:00,-94.2,29.7,34.9,54.4,3.77,107,100.14,0.3566666666666667,-36.83835016835017
CELL_0249,2026-01-03 14:00:00,-105.7,25.9,7.6,132.9,1.37,198,93.25999999999999,0.66,-3.8387258687258683
CELL_0250,2026-01-03 14:15:00,-98.2,12.0,29.2,191.5,1.7,105,87.92,0.35,-14.941666666666665
CELL_0251,2026-01-03 14:30:00,-95.2,14.9,55.8,106.3,4.01,227,90.85999999999999,0.7566666666666667,-52.675771812080534
CELL_0252,2026-01-03 14:45:00,-116.1,18.1,50.2,111.4,1.61,50,84.42,0.16666666666666666,-45.65530386740332
CELL_0253,2026-01-03 15:00:00,-103.6,8.9,29.5,144.9,0.83,237,83.9,0.79,-14.049101123595507
CELL_0254,2026-01-03 15:15:00,-102.4,1.3,52.9,73.7,4.99,150,79.82,0.5,-1.1976923076923054
CELL_0255,2026-01-03 15:30:00,-88.0,23.7,8.2,135.9,2.03,272,99.02,0.9066666666666666,-4.495822784810125
CELL_0256,2026-01-03 15:45:00,-79.9,20.4,57.4,32.8,3.04,234,100.28,0.78,-58.832156862745094
CELL_0257,2026-01-03 16:00:00,-118.3,2.0,47.8,76.4,1.91,300,73.88,1.0,-11.509999999999994
CELL_0258,2026-01-03 16:15:00,-118.4,4.6,29.7,77.3,2.22,49,75.39999999999999,0.16333333333333333,-15.115652173913043
CELL_0259,2026-01-03 16:30:00,-91.3,15.9,26.9,131.7,1.25,68,93.02,0.22666666666666666,-19.866981132075473
CELL_0260,2026-01-03 16:45:00,-118.7,5.6,33.5,183.1,0.59,143,75.88,0.4766666666666667,-1.3935714285714305
CELL_0261,2026-01-03 17:00:00,-84.8,6.4,38.7,140.3,4.99,112,89.92,0.37333333333333335,-21.768125000000005
CELL_0262,2026-01-03 17:15:00,-113.9,25.6,29.9,180.2,2.23,54,89.8,0.18,-25.0909375
CELL_0263,2026-01-03 17:30:00,-79.5,29.0,59.3,135.2,3.55,291,105.6,0.97,-58.18793103448275
CELL_0264,2026-01-03 17:45:00,-92.9,26.7,51.8,143.8,4.64,99,98.86,0.33,-51.054232209737826
CELL_0265,2026-01-03 18:00:00,-80.3,15.3,11.7,44.2,0.69,262,97.06,0.8733333333333333,-9.50111111111111
CELL_0266,2026-01-03 18:15:00,-118.7,16.6,25.3,161.7,2.76,54,82.47999999999999,0.18,-18.319036144578316
CELL_0267,2026-01-03 18:30:00,-116.7,11.9,44.4,98.3,2.05,219,80.46,0.73,-38.18949579831933
CELL_0268,2026-01-03 18:45:00,-78.8,2.2,58.5,130.3,2.25,274,89.8,0.9133333333333333,-1.5227272727272734
CELL_0269,2026-01-03 19:00:00,-102.8,26.3,47.9,129.8,0.91,76,94.66,0.25333333333333335,-43.87463878326996
CELL_0270,2026-01-03 19:15:00,-98.4,27.3,8.0,29.2,0.77,94,97.02,0.31333333333333335,-7.70040293040293
CELL_0271,2026-01-03 19:30:00,-111.9,28.0,17.4,189.8,2.59,155,92.03999999999999,0.5166666666666667,-13.21142857142857
CELL_0272,2026-01-03 19:45:00,-77.7,7.5,39.9,112.4,0.63,165,93.42,0.55,-25.54333333333333
CELL_0273,2026-01-03 20:00:00,-89.3,2.8,40.3,120.4,2.9,97,85.96000000000001,0.3233333333333333,-0.19999999999998996
CELL_0274,2026-01-03 20:15:00,-87.1,21.6,38.3,169.3,2.82,24,98.12,0.08,-33.282037037037036
CELL_0275,2026-01-03 20:30:00,-115.9,28.5,47.4,56.6,1.05,223,90.74,0.7433333333333333,-46.464035087719296
CELL_0276,2026-01-03 20:45:00,-89.1,0.9,53.9,111.4,3.21,164,84.9,0.5466666666666666,66.6677777777778
CELL_0277,2026-01-03 21:00:00,-95.9,24.1,42.7,63.0,0.36,40,96.1,0.13333333333333333,-40.44589211618258
CELL_0278,2026-01-03 21:15:00,-112.1,12.5,30.5,71.3,0.72,173,82.66,0.5766666666666667,-25.516
CELL_0279,2026-01-03 21:30:00,-83.3,25.8,58.6,30.5,1.85,297,102.16,0.99,-59.26782945736434
CELL_0280,2026-01-03 21:45:00,-114.7,7.3,11.7,92.7,0.7,35,78.5,0.11666666666666667,0.2986301369863036
CELL_0281,2026-01-03 22:00:00,-105.5,11.5,38.8,53.4,4.33,91,84.69999999999999,0.30333333333333334,-38.48652173913043
CELL_0282,2026-01-03 22:15:00,-79.3,28.0,44.7,42.0,0.8,273,105.08,0.91,-44.0
CELL_0283,2026-01-03 22:30:00,-96.7,26.4,32.4,22.6,1.97,244,97.16,0.8133333333333334,-33.513939393939395
CELL_0284,2026-01-03 22:45:00,-71.7,6.5,24.4,14.9,2.47,250,95.22,0.8333333333333334,-24.577692307692306
CELL_0285,2026-01-03 23:00:00,-105.7,0.2,10.9,31.1,1.32,197,77.84,0.6566666666666666,143.28
CELL_0286,2026-01-03 23:15:00,-81.8,11.0,27.0,116.2,0.97,293,93.88,0.9766666666666667,-17.406363636363636
CELL_0287,2026-01-03 23:30:00,-105.6,11.6,29.8,112.2,4.13,70,84.72,0.23333333333333334,-24.25758620689655
CELL_0288,2026-01-03 23:45:00,-113.6,2.9,25.5,197.4,2.79,197,76.30000000000001,0.6566666666666666,39.77896551724138
CELL_0289,2026-01-04 00:00:00,-82.3,6.0,33.0,102.5,0.23,80,90.68,0.26666666666666666,-16.14666666666667
CELL_0290,2026-01-04 00:15:00,-84.3,24.1,33.6,34.0,4.47,81,100.74000000000001,0.27,-36.65921161825726
CELL_0291,2026-01-04 00:30:00,-103.6,18.4,13.9,198.2,3.7,163,89.6,0.5433333333333333,-6.828260869565217
CELL_0292,2026-01-04 00:45:00,-90.3,15.2,33.0,100.5,2.81,253,93.0,0.8433333333333334,-29.19815789473684
CELL_0293,2026-01-04 01:00:00,-79.2,11.1,42.1,196.1,2.92,23,94.97999999999999,0.07666666666666666,-27.35333333333333
CELL_0294,2026-01-04 01:15:00,-90.2,8.0,41.1,194.6,2.89,126,88.72,0.42,-19.665000000000003
CELL_0295,2026-01-04 01:30:00,-83.9,17.5,14.4,127.7,3.1,204,96.94,0.68,-10.202857142857143
CELL_0296,2026-01-04 01:45:00,-112.6,20.4,6.7,189.9,0.55,19,87.2,0.06333333333333334,2.0588235294117663
CELL_0297,2026-01-04 02:00:00,-97.9,12.6,27.7,44.8,2.51,251,88.39999999999999,0.8366666666666667,-26.654444444444444
CELL_0298,2026-01-04 02:15:00,-76.4,22.1,8.4,31.9,1.04,176,102.69999999999999,0.5866666666666667,-7.996561085972851
CELL_0299,2026-01-04 02:30:00,-70.1,14.4,25.7,191.6,2.3,282,100.6,0.94,-14.694444444444443
CELL_0300,2026-01-04 02:45:00,-102.9,10.6,47.5,145.6,3.22,145,85.19999999999999,0.48333333333333334,-36.98415094339622
CELL_0301,2026-01-04 03:00:00,-89.5,5.8,18.6,113.8,1.12,162,87.67999999999999,0.54,-0.09931034482758871
CELL_0302,2026-01-04 03:15:00,-81.4,21.1,43.0,100.4,2.4,296,100.1,0.9866666666666667,-40.64170616113744
CELL_0303,2026-01-04 03:30:00,-73.3,23.9,20.0,28.8,3.38,204,105.02,0.68,-22.174979079497906
CELL_0304,2026-01-04 03:45:00,-75.2,11.8,24.0,155.7,0.73,31,97.0,0.10333333333333333,-11.535084745762713
CELL_0305,2026-01-04 04:00:00,-105.6,21.4,24.0,91.3,1.28,255,90.6,0.85,-21.013644859813084
CELL_0306,2026-01-04 04:15:00,-109.3,24.8,19.9,114.6,1.36,65,91.16,0.21666666666666667,-16.639032258064514
CELL_0307,2026-01-04 04:30:00,-89.2,17.6,18.3,135.6,2.66,129,94.88,0.43,-13.255454545454548
CELL_0308,2026-01-04 04:45:00,-117.4,12.4,44.5,24.6,3.85,12,80.47999999999999,0.04,-46.366129032258065
CELL_0309,2026-01-04 05:00:00,-71.8,29.3,13.7,132.3,4.4,253,108.86,0.8433333333333334,-13.584641638225255
CELL_0310,2026-01-04 05:15:00,-96.1,6.0,58.0,67.6,3.23,55,85.16,0.18333333333333332,-49.96333333333333
CELL_0311,2026-01-04 05:30:00,-87.4,7.0,45.6,170.8,0.19,99,89.24,0.33,-21.39
CELL_0312,2026-01-04 05:45:00,-99.1,25.1,56.4,12.1,4.18,263,95.42,0.8766666666666667,-60.097928286852586
CELL_0313,2026-01-04 06:00:00,-110.7,22.5,53.0,61.4,0.19,162,89.22,0.54,-50.46111111111111
CELL_0314,2026-01-04 06:15:00,-91.6,3.2,59.1,60.5,4.95,288,85.28,0.96,-45.143750000000004
CELL_0315,2026-01-04 06:30:00,-93.8,26.7,12.4,103.3,1.36,67,98.5,0.22333333333333333,-9.891086142322097
CELL_0316,2026-01-04 06:45:00,-103.5,21.9,40.7,145.1,0.07,182,91.74,0.6066666666666667,-34.1444292237443
CELL_0317,2026-01-04 07:00:00,-80.5,17.0,46.7,39.2,4.28,217,98.0,0.7233333333333334,-48.67411764705883
CELL_0318,2026-01-04 07:15:00,-78.7,15.5,9.8,135.5,0.92,81,97.82,0.27,-1.9780645161290327
CELL_0319,2026-01-04 07:30:00,-96.1,28.1,5.4,79.8,2.23,146,98.42,0.4866666666666667,-4.790142348754449
CELL_0320,2026-01-04 07:45:00,-72.3,9.1,44.8,7.2,3.27,130,96.53999999999999,0.43333333333333335,-47.27879120879121
CELL_0321,2026-01-04 08:00:00,-116.9,3.5,21.9,84.1,2.51,169,75.34,0.5633333333333334,-0.3814285714285699
CELL_0322,2026-01-04 08:15:00,-85.5,19.2,56.7,76.7,1.1,78,97.32,0.26,-53.80520833333334
CELL_0323,2026-01-04 08:30:00,-96.1,13.6,59.4,77.9,3.51,251,89.72,0.8366666666666667,-57.18205882352941
CELL_0324,2026-01-04 08:45:00,-82.1,24.1,50.4,153.6,3.4,51,101.62,0.17,-47.42655601659751
CELL_0325,2026-01-04 09:00:00,-93.7,15.8,24.9,183.9,0.56,290,92.0,0.9666666666666667,-13.820759493670886
CELL_0326,2026-01-04 09:15:00,-74.9,6.1,34.5,37.1,4.27,236,93.69999999999999,0.7866666666666666,-32.688032786885245
CELL_0327,2026-01-04 09:30:00,-114.2,6.2,37.1,22.7,2.55,38,78.03999999999999,0.12666666666666668,-35.98870967741935
CELL_0328,2026-01-04 09:45:00,-97.3,15.4,30.1,16.3,2.31,167,90.32,0.5566666666666666,-31.351558441558442
CELL_0329,2026-01-04 10:00:00,-83.8,11.9,49.9,150.4,2.89,33,93.62,0.11,-40.15134453781513
CELL_0330,2026-01-04 10:15:00,-98.8,21.0,34.8,16.7,4.47,251,93.08,0.8366666666666667,-38.4747619047619
CELL_0331,2026-01-04 10:30:00,-118.4,12.3,47.3,154.3,4.89,225,80.02,0.75,-39.645284552845524
CELL_0332,2026-01-04 10:45:00,-101.3,26.7,29.7,183.8,1.89,51,95.5,0.17,-24.706104868913858
CELL_0333,2026-01-04 11:00:00,-85.9,19.9,34.7,132.4,1.74,101,97.57999999999998,0.33666666666666667,-29.786733668341707
CELL_0334,2026-01-04 11:15:00,-70.4,11.8,12.0,195.9,4.17,21,98.91999999999999,0.07,0.4316949152542353
CELL_0335,2026-01-04 11:30:00,-71.1,13.9,44.6,87.7,1.9,127,99.9,0.42333333333333334,-40.19064748201439
CELL_0336,2026-01-04 11:45:00,-107.6,10.4,20.2,187.8,3.63,67,83.2,0.22333333333333333,-5.772307692307693
CELL_0337,2026-01-04 12:00:00,-118.4,19.8,38.8,187.6,4.45,133,84.52,0.44333333333333336,-33.775252525252526
CELL_0338,2026-01-04 12:15:00,-109.7,3.0,6.8,121.6,3.52,34,77.91999999999999,0.11333333333333333,30.213333333333335
CELL_0339,2026-01-04 12:30:00,-107.8,1.3,29.1,110.3,3.77,38,77.66,0.12666666666666668,51.976153846153835
CELL_0340,2026-01-04 12:45:00,-113.0,29.8,17.9,183.7,2.88,174,92.67999999999999,0.58,-14.615570469798655
CELL_0341,2026-01-04 13:00:00,-108.2,26.3,59.2,106.6,2.07,150,92.5,0.5,-57.21676806083651
CELL_0342,2026-01-04 13:15:00,-117.0,28.5,53.4,182.8,3.13,228,90.3,0.76,-50.1159649122807
CELL_0343,2026-01-04 13:30:00,-92.2,1.4,23.9,130.4,1.91,278,83.96000000000001,0.9266666666666666,67.33285714285716
CELL_0344,2026-01-04 13:45:00,-104.1,12.5,13.2,78.4,3.77,252,85.86,0.84,-10.697999999999999
CELL_0345,2026-01-04 14:00:00,-108.0,6.8,52.2,33.1,2.32,39,80.88,0.13,-49.652352941176474
CELL_0346,2026-01-04 14:15:00,-91.9,29.0,35.7,31.1,1.21,114,100.63999999999999,0.38,-35.83758620689655
CELL_0347,2026-01-04 14:30:00,-103.5,2.4,29.7,77.4,2.68,107,80.03999999999999,0.3566666666666667,-0.12999999999999234
CELL_0348,2026-01-04 14:45:00,-117.4,11.3,38.3,12.7,0.36,296,79.82,0.9866666666666667,-37.53610619469026
CELL_0349,2026-01-04 15:00:00,-109.1,6.3,54.9,64.1,4.54,118,80.14,0.3933333333333333,-49.26539682539683
CELL_0350,2026-01-04 15:15:00,-73.1,28.9,11.5,199.9,2.39,134,108.1,0.44666666666666666,-6.973044982698962
CELL_0351,2026-01-04 15:30:00,-85.2,21.1,26.8,51.7,1.61,154,98.58,0.5133333333333333,-25.959763033175356
CELL_0352,2026-01-04 15:45:00,-101.0,16.0,24.8,56.0,2.56,264,89.19999999999999,0.88,-23.86
CELL_0353,2026-01-04 16:00:00,-96.7,24.1,44.7,153.5,1.6,114,95.78,0.38,-39.93070539419087
CELL_0354,2026-01-04 16:15:00,-101.5,12.4,35.9,48.1,0.73,143,86.84,0.4766666666666667,-32.750967741935476
CELL_0355,2026-01-04 16:30:00,-92.3,17.5,44.6,62.6,0.98,127,93.58,0.42333333333333334,-42.00285714285714
CELL_0356,2026-01-04 16:45:00,-101.0,25.0,32.5,132.6,3.42,141,94.6,0.47,-30.616
CELL_0357,2026-01-04 17:00:00,-81.8,14.7,44.8,149.2,2.3,190,96.1,0.6333333333333333,-36.950340136054415
CELL_0358,2026-01-04 17:15:00,-111.5,21.6,31.9,183.8,2.71,40,88.36,0.13333333333333333,-26.10074074074074
CELL_0359,2026-01-04 17:30:00,-93.8,25.2,9.1,164.5,0.24,13,97.6,0.043333333333333335,-2.812222222222222
CELL_0360,2026-01-04 17:45:00,-99.4,25.3,17.7,142.9,0.05,268,95.41999999999999,0.8933333333333333,-12.101778656126482
CELL_0361,2026-01-04 18:00:00,-97.2,1.8,40.1,187.1,4.56,259,82.19999999999999,0.8633333333333333,59.28444444444444
CELL_0362,2026-01-04 18:15:00,-119.2,16.0,27.6,8.3,3.61,284,81.91999999999999,0.9466666666666667,-30.69125
CELL_0363,2026-01-04 18:30:00,-71.1,0.5,49.7,136.4,4.03,101,91.86,0.33666666666666667,219.07000000000002
CELL_0364,2026-01-04 18:45:00,-114.6,2.9,13.2,42.4,2.63,191,75.9,0.6366666666666667,-1.2093103448275846
CELL_0365,2026-01-04 19:00:00,-106.6,11.9,25.5,84.2,2.83,125,84.5,0.4166666666666667,-21.254369747899162
CELL_0366,2026-01-04 19:15:00,-105.0,24.8,9.4,198.4,3.25,26,92.88,0.08666666666666667,-4.65
CELL_0367,2026-01-04 19:30:00,-115.3,11.4,35.4,15.9,0.05,97,80.72,0.3233333333333333,-34.055263157894736
CELL_0368,2026-01-04 19:45:00,-115.9,25.4,40.5,69.6,4.89,58,88.88,0.19333333333333333,-42.64984251968504
CELL_0369,2026-01-04 20:00:00,-75.3,27.6,17.6,180.7,3.46,300,106.44,1.0,-14.512898550724639
CELL_0370,2026-01-04 20:15:00,-96.2,1.4,9.1,185.5,4.5,298,82.36,0.9933333333333333,118.9
CELL_0371,2026-01-04 20:30:00,-87.1,5.4,51.8,8.1,1.04,83,88.4,0.27666666666666667,-51.339999999999996
CELL_0372,2026-01-04 20:45:00,-82.4,21.4,26.9,20.0,0.81,133,99.88,0.44333333333333336,-26.775420560747662
CELL_0373,2026-01-04 21:00:00,-91.7,25.5,42.2,110.4,1.92,81,98.62,0.27,-39.79058823529412
CELL_0374,2026-01-04 21:15:00,-80.5,20.7,9.3,150.4,1.73,60,100.22,0.2,-3.764299516908213
CELL_0375,2026-01-04 21:30:00,-98.1,25.2,23.7,155.0,4.77,213,95.88,0.71,-22.319206349206347
CELL_0376,2026-01-04 21:45:00,-71.6,9.8,39.9,157.8,2.25,126,97.24,0.42,-26.047959183673466
CELL_0377,2026-01-04 22:00:00,-102.2,28.2,28.8,137.5,3.3,53,96.03999999999999,0.17666666666666667,-27.224113475177308
CELL_0378,2026-01-04 22:15:00,-81.4,8.9,18.6,19.3,1.34,204,92.78,0.68,-17.771460674157304
CELL_0379,2026-01-04 22:30:00,-84.4,19.0,45.7,66.8,0.53,12,97.63999999999999,0.04,-42.714210526315796
CELL_0380,2026-01-04 22:45:00,-72.9,13.3,46.9,24.9,0.44,230,98.82,0.7666666666666667,-45.46781954887218
CELL_0381,2026-01-04 23:00:00,-97.6,16.6,27.4,10.1,1.77,57,90.92,0.19,-28.56156626506024
CELL_0382,2026-01-04 23:15:00,-90.2,23.5,52.5,7.4,2.07,53,98.02,0.17666666666666667,-54.255106382978724
CELL_0383,2026-01-04 23:30:00,-83.8,16.8,59.6,52.3,2.61,204,96.56,0.68,-59.09690476190476
CELL_0384,2026-01-04 23:45:00,-111.5,8.1,19.8,33.5,0.84,151,80.25999999999999,0.5033333333333333,-16.504197530864197
CELL_0385,2026-01-05 00:00:00,-98.9,14.5,9.2,54.1,1.23,263,89.14,0.8766666666666667,-6.698965517241378
CELL_0386,2026-01-05 00:15:00,-90.3,5.9,10.9,64.4,4.74,180,87.42,0.6,-4.724745762711864
CELL_0387,2026-01-05 00:30:00,-77.9,11.4,52.4,90.8,2.15,79,95.67999999999999,0.2633333333333333,-46.585087719298244
CELL_0388,2026-01-05 00:45:00,-105.0,18.1,43.2,98.4,0.89,213,88.86,0.71,-38.65353591160221
CELL_0389,2026-01-05 01:00:00,-71.6,8.7,43.2,100.7,2.88,134,96.58,0.44666666666666666,-34.505287356321844
CELL_0390,2026-01-05 01:15:00,-103.7,8.4,48.2,76.2,4.66,112,83.56,0.37333333333333335,-43.78857142857143
CELL_0391,2026-01-05 01:30:00,-90.4,16.4,42.5,112.3,4.77,246,93.67999999999999,0.82,-40.42243902439024
CELL_0392,2026-01-05 01:45:00,-72.9,6.3,48.9,167.1,0.35,219,94.62,0.73,-22.726190476190478
CELL_0393,2026-01-05 02:00:00,-86.4,4.2,21.7,54.3,0.77,226,87.96000000000001,0.7533333333333333,-9.541428571428572
CELL_0394,2026-01-05 02:15:00,-80.5,2.2,59.5,98.5,2.0,269,89.12,0.8966666666666666,-16.727272727272734
CELL_0395,2026-01-05 02:30:00,-73.8,26.1,28.0,12.2,4.84,284,106.14,0.9466666666666667,-32.372567049808424
CELL_0396,2026-01-05 02:45:00,-90.3,27.4,11.0,53.4,3.32,95,100.32,0.31666666666666665,-12.37109489051095
CELL_0397,2026-01-05 03:00:00,-87.7,1.3,59.1,137.1,2.0,179,85.69999999999999,0.5966666666666667,44.36153846153845
CELL_0398,2026-01-05 03:15:00,-71.7,12.9,5.6,55.5,2.55,275,99.06,0.9166666666666666,-3.847674418604651
CELL_0399,2026-01-05 03:30:00,-92.1,20.6,17.2,78.0,2.32,266,95.52000000000001,0.8866666666666667,-15.733592233009709
CELL_0400,2026-01-05 03:45:00,-112.5,29.9,31.6,62.6,4.6,53,92.94,0.17666666666666667,-34.10635451505017
CELL_0401,2026-01-05 04:00:00,-114.2,28.2,12.8,65.8,2.28,115,91.24,0.38333333333333336,-12.746666666666666
CELL_0402,2026-01-05 04:15:00,-93.9,10.4,10.4,145.8,2.26,44,88.68,0.14666666666666667,1.35923076923077
CELL_0403,2026-01-05 04:30:00,-105.0,24.3,11.3,170.6,3.24,94,92.58,0.31333333333333335,-7.519423868312758
CELL_0404,2026-01-05 04:45:00,-73.5,22.2,33.4,112.6,1.65,228,103.91999999999999,0.76,-29.977927927927926
CELL_0405,2026-01-05 05:00:00,-72.1,7.0,27.3,41.0,3.2,231,95.36,0.77,-24.642857142857142
CELL_0406,2026-01-05 05:15:00,-100.2,22.1,53.6,92.7,2.15,12,93.17999999999999,0.04,-51.55542986425339
CELL_0407,2026-01-05 05:30:00,-84.8,6.2,46.4,162.7,0.31,62,89.8,0.20666666666666667,-20.468064516129033
CELL_0408,2026-01-05 05:45:00,-80.0,16.1,25.1,43.4,0.57,260,97.66,0.8666666666666667,-22.97434782608696
CELL_0409,2026-01-05 06:00:00,-93.6,19.2,37.8,124.2,2.94,188,94.08,0.6266666666666667,-34.271249999999995
CELL_0410,2026-01-05 06:15:00,-102.4,13.7,14.5,136.3,4.0,53,87.25999999999999,0.17666666666666667,-8.551094890510948
CELL_0411,2026-01-05 06:30:00,-86.4,9.4,18.1,27.8,1.87,82,91.08,0.2733333333333333,-17.012553191489364
CELL_0412,2026-01-05 06:45:00,-94.5,12.5,12.6,79.8,0.93,285,89.69999999999999,0.95,-7.146
CELL_0413,2026-01-05 07:00:00,-85.3,19.4,60.0,113.2,2.45,81,97.52000000000001,0.27,-56.61494845360825
CELL_0414,2026-01-05 07:15:00,-110.6,25.3,39.1,173.8,4.76,258,90.94,0.86,-36.990434782608695
CELL_0415,2026-01-05 07:30:00,-113.2,24.5,58.0,103.6,2.47,261,89.42,0.87,-56.24142857142857
CELL_0416,2026-01-05 07:45:00,-99.2,25.2,31.9,21.1,0.15,122,95.44,0.4066666666666667,-31.21269841269841
CELL_0417,2026-01-05 08:00:00,-105.4,8.2,34.6,37.8,2.29,263,82.75999999999999,0.8766666666666667,-32.280243902439025
CELL_0418,2026-01-05 08:15:00,-92.5,3.4,11.3,156.1,4.12,197,85.03999999999999,0.6566666666666666,30.49176470588235
CELL_0419,2026-01-05 08:30:00,-92.9,22.7,46.8,91.1,1.09,227,96.46,0.7566666666666667,-43.876784140969164
CELL_0420,2026-01-05 08:45:00,-114.9,24.9,46.3,63.1,5.0,240,88.97999999999999,0.8,-48.76586345381526
CELL_0421,2026-01-05 09:00:00,-106.9,25.9,9.8,173.7,0.59,131,92.78,0.43666666666666665,-3.6834362934362943
CELL_0422,2026-01-05 09:15:00,-109.5,22.1,42.9,172.9,3.05,229,89.46,0.7633333333333333,-38.12647058823529
CELL_0423,2026-01-05 09:30:00,-111.7,4.2,16.4,45.4,0.3,189,77.84,0.63,-5.89047619047619
CELL_0424,2026-01-05 09:45:00,-93.4,17.9,14.3,195.9,1.46,146,93.38,0.4866666666666667,-4.815865921787709
CELL_0425,2026-01-05 10:00:00,-72.4,15.4,54.5,164.0,0.68,220,100.28,0.7333333333333333,-44.53064935064935
CELL_0426,2026-01-05 10:15:00,-74.1,29.8,52.7,29.7,4.33,137,108.24,0.45666666666666667,-56.03335570469799
CELL_0427,2026-01-05 10:30:00,-112.7,9.7,18.6,169.5,1.96,82,80.74,0.2733333333333333,-3.085773195876288
CELL_0428,2026-01-05 10:45:00,-91.1,8.1,27.8,93.1,3.17,57,88.42,0.19,-19.476172839506177
CELL_0429,2026-01-05 11:00:00,-99.9,22.5,43.2,176.1,2.27,259,93.53999999999999,0.8633333333333333,-37.64333333333334
CELL_0430,2026-01-05 11:15:00,-103.6,0.1,47.6,147.9,3.65,244,78.62,0.8133333333333334,1427.75
CELL_0431,2026-01-05 11:30:00,-88.3,20.9,51.8,160.2,1.99,229,97.22,0.7633333333333333,-46.12492822966507
CELL_0432,2026-01-05 11:45:00,-78.8,14.8,22.8,60.3,2.74,76,97.36,0.25333333333333335,-21.465675675675676
CELL_0433,2026-01-05 12:00:00,-91.7,14.6,23.9,138.1,0.24,60,92.08,0.2,-14.681095890410958
